Район,lat,lon
Арбат,55.750886550000004,37.592144149999996
Басманный,55.76635254999999,37.670732349999994
Замоскворечье,55.73471675,37.63467165
Красносельский,55.776388850000004,37.6585949
Мещанский,55.778130000000004,37.628559249999995
Пресненский,55.7600178,37.5618434
Таганский,55.740283500000004,37.6659308
Тверской,55.7696414,37.60559525
Хамовники,55.73030835,37.57675305
Якиманка,55.730034200000006,37.6020231
Аэропорт,55.8005586,37.542853449999996
Беговой,55.7833521,37.564981700000004
Бескудниковский,55.8638191,37.55167735
Войковский,55.82804935,37.4969205
Восточное Дегунино,55.8755068,37.55890315
Головинский,55.8523684,37.5105279
Дмитровский,55.89001055,37.524694
Западное Дегунино,55.87020655,37.52035955
Коптево,55.8304888,37.53278605
Левобережный,55.8659243,37.46689775
Молжаниновский,55.9521704,37.40417335
Савёловский,55.7998665,37.567468250000005
Сокол,55.80314205,37.503592999999995
Тимирязевский,55.8273046,37.55812295
Ховрино,55.8688119,37.48889095
Хорошёвский,55.78177585,37.52942125
Алексеевский,55.8113235,37.652724750000004
Алтуфьевский,55.878404950000004,37.587441
Бабушкинский,55.867085349999996,37.662653899999995
Бибирево,55.8957168,37.6159994
Бутырский,55.8136375,37.59372295
Лианозово,55.8992168,37.563669149999996
Лосиноостровский,55.878295449999996,37.6974508
Марфино,55.832834250000005,37.58870235
Марьина Роща,55.7965029,37.61191755
Останкинский,55.8281056,37.61507
Отрадное,55.8634026,37.603188900000006
Ростокино,55.835062300000004,37.6517792
Свиблово,55.85305915,37.64849185
Северное Медведково,55.887150899999995,37.652433200000004
Северный,55.931954149999996,37.5480605
Южное Медведково,55.87354035,37.636472850000004
Ярославский,55.86210785,37.699246650000006
Богородское,55.8200315,37.708112
Вешняки,55.72940525,37.80499825
Восточное Измайлово,55.795632,37.82102545
Восточный,55.90804675,37.84325665
Гольяново,55.8290001,37.795072250000004
Ивановское,55.768180799999996,37.82186075
Измайлово,55.781311599999995,37.77439125
Косино-Ухтомский,55.7138919,37.8907464
Метрогородок,55.84361225,37.72754985
Новогиреево,55.747838200000004,37.8018351
Новокосино,55.739865949999995,37.86565775
Перово,55.7511123,37.7641184
Преображенское,55.7962657,37.72259755
Северное Измайлово,55.80862195,37.797609550000004
Соколиная Гора,55.773015150000006,37.72676775
Сокольники,55.8031237,37.677941849999996
Выхино-Жулебино,55.69830975,37.826000449999995
Капотня,55.64073795,37.812685
Кузьминки,55.698465,37.77545725
Лефортово,55.75435615,37.703621600000005
Люблино,55.6739641,37.7775909
Марьино,55.654161450000004,37.74046455
Некрасовка,55.6851839,37.93843805
Нижегородский,55.7328353,37.72395855
Печатники,55.683645549999994,37.703196500000004
Рязанский,55.7208287,37.767651400000005
Текстильщики,55.7067646,37.73665025
Южнопортовый,55.7144582,37.68048405
Бирюлёво Восточное,55.596788450000005,37.6825671
Бирюлёво Западное,55.59103105,37.63871465
Братеево,55.63299415,37.75995125
Даниловский,55.7068807,37.63701675
Донской,55.70524505,37.6057068
Зябликово,55.62129735,37.7490409
Москворечье-Сабурово,55.6430822,37.6758464
Нагатино-Садовники,55.6712389,37.6435537
Нагатинский Затон,55.67543435,37.682882899999996
Нагорный,55.6656112,37.61533525
Орехово-Борисово Северное,55.62148565,37.700737000000004
Орехово-Борисово Южное,55.604323550000004,37.738095799999996
Царицыно,55.625664549999996,37.65596415
Чертаново Северное,55.6330689,37.604091100000005
Чертаново Центральное,55.61432525,37.605365500000005
Чертаново Южное,55.58827735,37.6029408
Академический,55.689502950000005,37.576936
Гагаринский,55.69751895,37.559418550000004
Зюзино,55.6538089,37.5887848
Коньково,55.640458499999994,37.53124485
Котловка,55.67783135,37.59715465
Ломоносовский,55.6790368,37.5336319
Обручевский,55.657934999999995,37.518772150000004
Северное Бутово,55.56805155,37.5705813
Тёплый Стан,55.629731050000004,37.48814645
Черёмушки,55.66577945,37.562353349999995
Южное Бутово,55.52548635,37.53979045
Ясенево,55.61563505,37.53798735
Дорогомилово,55.73824775,37.5318932
Внуково,55.60247525,37.2498457
Крылатское,55.761104700000004,37.4153292
Кунцево,55.769946250000004,37.3831926
Можайский,55.7143739,37.4161846
Ново-Переделкино,55.646530549999994,37.35823835
Очаково-Матвеевское,55.69178375,37.44853105
Проспект Вернадского,55.6751062,37.49892645
Раменки,55.70701895,37.5127874
Солнцево,55.655118400000006,37.4015957
Тропарёво-Никулино,55.66107435,37.46929855
Филёвский Парк,55.750561899999994,37.4750897
Фили-Давыдково,55.72651555,37.46824615
Куркино,55.891923750000004,37.397199099999995
Митино,55.844629850000004,37.36415855
Покровское-Стрешнево,55.82462725,37.4439232
Северное Тушино,55.86403415,37.42827695
Строгино,55.8000426,37.40722635
Хорошёво-Мнёвники,55.7671104,37.46243305
Щукино,55.8015369,37.474910550000004
Южное Тушино,55.842314,37.43094035
Крюково,55.97357275,37.182413800000006
Матушкино,56.0028138,37.20439705
Савёлки,55.9857917,37.23884425
Силино,56.000823499999996,37.1685811
Старое Крюково,55.980474799999996,37.19992445
Внуковское,55.641859,37.264022
Воскресенское,55.927034,38.306562
Краснопахорское,55.446891,37.296505
Марушкинское,55.593833,37.206503
Филимонковское,55.55941,37.34709
Троицк,55.484847,37.305569
Московский,55.597151,37.366879499999996
Мосрентген,55.61511,37.476133
Новофедоровское,55.42505,36.98835
Первомайское,55.535656,37.16386
Рязановское,55.489743000000004,37.534339
Сосенское,55.557526,37.4352956
Десеновское,55.536334,37.380534
Кокошкино,55.598772,37.167534
Щаповское,55.418737,37.401689
Щербинка,55.512235,37.580732
Мосрентген,55.620947,37.473815
Роговское,55.215832,37.076292
Киевский,55.432423,36.867829
Михайлово-Ярцевское,55.409232,37.170768
